block_number,log_index,z,trade_size_usdc,adverse_slippage,z_cap_roll,scale_roll,size_eff_roll,cost_eff_roll
410739577,3,8.258079523637438e-07,53612066158.02034,0.0005463420793770185,,,,
410739602,188,6.370960007313635e-07,41360745973.02415,0.0,,,,
410739603,36,1.8782738518836874e-06,121938934738.80403,0.0,,,,
410739604,23,9.525875968267054e-07,62028093409.31791,0.0,,,,
410739604,47,2.6514838197972343e-07,17265234881.868572,0.0,,,,
410739604,64,2.3378485354183016e-07,15222987136.808594,0.0,,,,
410739604,67,2.7553506739866997e-07,17941567741.46681,0.0,,,,
410739604,89,6.28824956352753e-08,4094616942.388613,0.0,,,,
410739604,113,1.6852354109028427e-07,10973472658.303802,0.0,,,,
410739604,144,5.093906133134655e-07,33169158038.266388,0.0,,,,
410739605,2,2.6033551384367725e-08,1695184319.452781,0.0,,,,
410739605,18,3.6241081879505724e-07,23598514399.78038,0.0,,,,
410739605,25,3.119859010620181e-07,20315077246.36642,0.0,,,,
410739605,52,7.377636583006956e-08,4803975326.103335,0.0,,,,
410739605,58,1.6288718551489368e-07,10606459282.018934,0.0,,,,
410739605,68,3.9117377086540704e-07,25471424653.588734,0.0,,,,
410739605,117,2.052222295787396e-07,13363121321.738457,0.0,,,,
410739618,160,4.28753623314029e-08,2791845063.393599,0.0005026930511886561,,,,
410739623,60,8.061789864237007e-07,52494642635.59541,0.0,,,,
410739625,39,9.070940723445698e-07,59065765749.901245,0.0,,,,
410739626,23,1.6122772458099136e-06,104984028700.311,0.0,,,,
410739626,91,1.2768607834247832e-06,83143261794.3015,0.0,,,,
410739627,16,1.1808563062047486e-08,768918947.80334,0.000500909513558032,,,,
410739627,80,6.035374411262883e-08,3929956352.456321,0.0,,,,
410739627,133,6.196053450994687e-07,40345831029.89343,0.0,,,,
410739627,161,1.0116620920214163e-07,6578930151.724013,0.0,,,,
410739636,11,8.518016424731752e-09,553934317.906238,0.0005012967825579133,,,,
410739763,3,5.914680970321442e-07,38463705698.1396,0.00053329142099028,,,,
410739765,26,5.852921899652e-07,38111517252.423546,0.0005329331448260717,,,,
410739824,32,6.145741474400882e-07,40018222734.95405,0.0005345740858203728,,,,
410739829,74,6.429068696679685e-07,41863118413.5726,0.000536152753439902,,,,
410739837,3,5.851000860591684e-07,38099008335.58764,0.0005329257958910591,,,,
410739839,52,5.872226284179515e-07,38237218465.69474,0.0005330392943746046,,,,
410739842,31,8.954670757746245e-07,58308669571.33155,0.0005502466248922761,,,,
410739843,30,1.5706214706384405e-06,102271597505.55157,0.0005879364846040074,,,,
410739846,49,8.955742274535362e-07,58315646792.50327,0.0005502483956472821,,,,
410739852,59,8.622738758199205e-07,56147282089.27398,0.0005483852039868877,,,,
410739858,26,9.446356960662175e-07,61510302452.563614,0.0005529807615332009,,,,
410739863,7,7.080494971314696e-07,46104904675.21918,0.0005397711562801018,,,,
410739945,10,5.882172864563428e-07,38301985991.45425,0.0005331833591799584,,,,
410740064,80,5.897224290532675e-07,38285218483.03323,0.0005331685276294228,,,,
410740103,17,1.0474310129219639e-07,6800000000.0,0.000506120978957377,,,,
410740266,11,8.958201182233663e-07,58157308011.39386,0.0005502452987029534,,,,
410740685,24,3.12063477349688e-08,2025939293.183765,0.0005019916235242448,,,,
